Country,League,Season,Date,Time,TeamHome,TeamAway,FTHG,FTAG,Res
Mexico,Liga MX,2022/2023,9/7/2022,1:05,Santos Laguna,Necaxa,3,1,H
Mexico,Liga MX,2022/2023,9/7/2022,3:05,Club America,Atl. San Luis,3,0,H
Mexico,Liga MX,2022/2023,9/7/2022,3:05,Monterrey,Cruz Azul,3,2,H
Mexico,Liga MX,2022/2023,9/4/2022,1:05,Atlas,U.N.A.M.- Pumas,0,0,D
Mexico,Liga MX,2022/2023,9/4/2022,1:05,Monterrey,Mazatlan FC,0,0,D
Mexico,Liga MX,2022/2023,9/4/2022,3:05,Club America,U.A.N.L.- Tigres,2,1,H
Mexico,Liga MX,2022/2023,9/4/2022,23:30,Toluca,Guadalajara Chivas,0,0,D
Mexico,Liga MX,2022/2023,9/3/2022,1:00,Necaxa,Club Leon,3,2,H
Mexico,Liga MX,2022/2023,9/3/2022,3:05,Juarez,Cruz Azul,2,2,D
Mexico,Liga MX,2022/2023,9/3/2022,23:05,Pachuca,Santos Laguna,2,0,H
Mexico,Liga MX,2022/2023,9/2/2022,1:00,Atl. San Luis,Club Tijuana,0,0,D
Mexico,Liga MX,2022/2023,9/2/2022,3:05,Queretaro,Puebla,1,1,D
Mexico,Liga MX,2022/2023,8/29/2022,1:00,Club Leon,Atlas,4,2,H
Mexico,Liga MX,2022/2023,8/29/2022,1:05,Santos Laguna,Atl. San Luis,4,1,H
Mexico,Liga MX,2022/2023,8/29/2022,3:05,Club Tijuana,Monterrey,0,3,A
Mexico,Liga MX,2022/2023,8/28/2022,1:05,U.A.N.L.- Tigres,Necaxa,0,0,D
Mexico,Liga MX,2022/2023,8/28/2022,3:05,Guadalajara Chivas,U.N.A.M.- Pumas,3,1,H
Mexico,Liga MX,2022/2023,8/28/2022,18:00,Toluca,Pachuca,1,4,A
Mexico,Liga MX,2022/2023,8/27/2022,1:00,Puebla,Juarez,2,2,D
Mexico,Liga MX,2022/2023,8/27/2022,3:05,Mazatlan FC,Club America,1,3,A
Mexico,Liga MX,2022/2023,8/27/2022,23:00,Cruz Azul,Queretaro,2,1,H
Mexico,Liga MX,2022/2023,8/26/2022,1:05,Pachuca,Atlas,3,1,H
Mexico,Liga MX,2022/2023,8/26/2022,3:05,Club Tijuana,Santos Laguna,0,2,A
Mexico,Liga MX,2022/2023,8/25/2022,3:05,U.N.A.M.- Pumas,U.A.N.L.- Tigres,1,1,D
Mexico,Liga MX,2022/2023,8/24/2022,1:05,Guadalajara Chivas,Monterrey,1,0,H
Mexico,Liga MX,2022/2023,8/24/2022,3:05,Queretaro,Club America,0,1,A
Mexico,Liga MX,2022/2023,8/22/2022,1:05,Pachuca,Club Leon,1,0,H
Mexico,Liga MX,2022/2023,8/21/2022,1:05,Atlas,Puebla,1,1,D
Mexico,Liga MX,2022/2023,8/21/2022,1:05,Monterrey,U.A.N.L.- Tigres,0,0,D
Mexico,Liga MX,2022/2023,8/21/2022,3:05,Club America,Cruz Azul,7,0,H
Mexico,Liga MX,2022/2023,8/21/2022,3:05,Juarez,Mazatlan FC,1,1,D
Mexico,Liga MX,2022/2023,8/21/2022,18:00,U.N.A.M.- Pumas,Santos Laguna,1,5,A
Mexico,Liga MX,2022/2023,8/21/2022,23:00,Atl. San Luis,Toluca,1,0,H
Mexico,Liga MX,2022/2023,8/20/2022,1:00,Necaxa,Guadalajara Chivas,0,4,A
Mexico,Liga MX,2022/2023,8/20/2022,23:00,Queretaro,Club Tijuana,2,0,H
Mexico,Liga MX,2022/2023,8/19/2022,1:05,Santos Laguna,Club Leon,2,1,H
Mexico,Liga MX,2022/2023,8/19/2022,3:05,Atl. San Luis,U.N.A.M.- Pumas,3,2,H
Mexico,Liga MX,2022/2023,8/18/2022,1:00,Toluca,Monterrey,1,1,D
Mexico,Liga MX,2022/2023,8/18/2022,3:05,Cruz Azul,Club Tijuana,1,2,A
Mexico,Liga MX,2022/2023,8/18/2022,3:05,Pachuca,Club America,0,3,A
Mexico,Liga MX,2022/2023,8/17/2022,1:00,Atlas,Juarez,0,1,A
Mexico,Liga MX,2022/2023,8/17/2022,1:00,Mazatlan FC,Queretaro,1,1,D
Mexico,Liga MX,2022/2023,8/17/2022,3:05,Puebla,Necaxa,2,2,D
Mexico,Liga MX,2022/2023,8/15/2022,1:05,U.A.N.L.- Tigres,Santos Laguna,2,0,H
Mexico,Liga MX,2022/2023,8/14/2022,1:05,U.N.A.M.- Pumas,Club America,0,3,A
Mexico,Liga MX,2022/2023,8/14/2022,3:05,Guadalajara Chivas,Atlas,1,1,D
Mexico,Liga MX,2022/2023,8/14/2022,23:00,Cruz Azul,Toluca,2,3,A
Mexico,Liga MX,2022/2023,8/13/2022,3:00,Necaxa,Monterrey,1,2,A
Mexico,Liga MX,2022/2023,8/13/2022,3:05,Club Tijuana,Puebla,3,3,D
Mexico,Liga MX,2022/2023,8/13/2022,23:00,Club Leon,Mazatlan FC,0,3,A
Mexico,Liga MX,2022/2023,8/12/2022,3:00,Queretaro,Atl. San Luis,1,1,D
Mexico,Liga MX,2022/2023,8/8/2022,0:05,Pachuca,U.A.N.L.- Tigres,2,0,H
