Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
SC0,12/11/2022,15:00,St Johnstone,Motherwell,1,1,D,1,1,D,N Walsh,10,12,3,3,11,20,8,4,2,4,0,30.12
SC0,12/11/2022,18:00,Aberdeen,Dundee United,1,0,H,1,0,H,W Collum,9,6,2,2,11,12,3,3,1,0,0,30.12
SC0,09/11/2022,19:45,Dundee United,Kilmarnock,4,0,H,3,0,H,G Irvine,7,16,6,0,13,7,3,4,0,1,0,30.12
SC0,09/11/2022,19:45,Motherwell,Celtic,1,2,A,0,1,A,W Collum,7,16,2,3,7,11,5,10,2,1,0,30.12
SC0,09/11/2022,19:45,Rangers,Hearts,1,0,H,0,0,D,J Beaton,17,7,6,0,9,7,7,5,3,1,0,30.12
SC0,09/11/2022,19:45,St Mirren,St Johnstone,2,2,D,1,1,D,E Anderson,11,8,4,2,9,7,6,3,4,3,0,31.12
SC0,08/11/2022,19:45,Hibernian,Ross County,0,2,A,0,1,A,A Muir,21,6,4,3,10,19,4,3,1,3,0,30.12
SC0,08/11/2022,19:45,Livingston,Aberdeen,2,1,H,2,0,H,N Walsh,8,24,3,10,11,9,7,8,4,3,0,30.12
SC0,06/11/2022,12:00,St Johnstone,Rangers,2,1,H,1,0,H,S McLean,11,29,3,7,7,13,0,20,2,0,0,30.12
SC0,06/11/2022,15:00,Hearts,Motherwell,3,2,H,1,0,H,K Clancy,15,18,7,5,8,15,6,11,2,3,1,30.12
SC0,05/11/2022,15:00,Celtic,Dundee United,4,2,H,2,1,H,D Dickinson,24,6,12,3,9,9,11,2,3,2,0,30.12
SC0,05/11/2022,15:00,Ross County,St Mirren,3,2,H,1,2,A,J Beaton,10,11,4,4,9,13,7,5,2,3,0,30.12
SC0,04/11/2022,19:30,Aberdeen,Hibernian,4,1,H,1,0,H,D Munro,7,17,6,6,10,7,5,4,2,2,0,30.12
SC0,04/11/2022,19:45,Kilmarnock,Livingston,2,3,A,2,1,H,C Steven,13,10,4,4,13,12,5,4,3,3,0,30.12
SC0,30/10/2022,12:00,Livingston,Celtic,0,3,A,0,1,A,W Collum,4,16,2,6,15,15,0,4,2,3,0,30.12
SC0,30/10/2022,15:00,Ross County,Hearts,1,2,A,1,2,A,D Dickinson,15,12,7,3,11,4,6,1,3,2,0,30.12
SC0,29/10/2022,15:00,Dundee United,Motherwell,0,1,A,0,1,A,J Beaton,10,9,3,2,13,14,10,5,0,1,1,30.12
SC0,29/10/2022,15:00,Hibernian,St Mirren,3,0,H,1,0,H,D Robertson,16,11,4,3,12,16,6,6,2,3,0,30.12
SC0,29/10/2022,15:00,Rangers,Aberdeen,4,1,H,2,1,H,N Walsh,36,5,13,1,9,12,13,4,0,3,0,30.12
SC0,29/10/2022,15:00,St Johnstone,Kilmarnock,1,0,H,1,0,H,C Napier,8,7,2,2,15,10,3,6,5,1,0,30.12
SC0,22/10/2022,12:30,Hearts,Celtic,3,4,A,1,1,D,N Walsh,15,11,7,6,9,15,3,6,2,1,0,30.12
SC0,22/10/2022,15:00,Kilmarnock,Ross County,1,0,H,1,0,H,C Steven,11,10,6,4,9,9,5,7,2,2,0,30.12
SC0,22/10/2022,15:00,Motherwell,Aberdeen,1,2,A,0,1,A,E Anderson,12,7,4,3,14,8,4,0,3,2,0,30.12
SC0,22/10/2022,15:00,Rangers,Livingston,1,1,D,0,1,A,D Munro,24,5,3,1,9,12,14,1,2,2,0,31.12
SC0,22/10/2022,15:00,St Mirren,Dundee United,2,1,H,1,0,H,G Irvine,15,10,2,3,19,5,6,6,1,1,0,30.12
SC0,21/10/2022,19:30,Hibernian,St Johnstone,1,2,A,1,0,H,K Clancy,15,7,5,5,17,10,1,1,4,1,1,30.12
SC0,16/10/2022,12:00,Motherwell,Rangers,1,2,A,0,0,D,D Dickinson,5,7,2,4,15,18,3,3,3,4,0,30.12
SC0,16/10/2022,15:00,Aberdeen,Hearts,2,0,H,0,0,D,D Robertson,16,13,5,3,11,16,4,1,3,3,0,30.12
SC0,15/10/2022,15:00,Celtic,Hibernian,6,1,H,3,0,H,S McLean,20,9,9,5,17,7,7,2,1,0,0,30.12
SC0,15/10/2022,15:00,Livingston,St Johnstone,1,0,H,1,0,H,K Clancy,14,10,4,3,20,18,8,2,3,3,0,30.12
SC0,15/10/2022,15:00,Ross County,Dundee United,1,1,D,1,0,H,C Napier,6,14,1,3,12,11,4,10,1,0,0,30.12
SC0,15/10/2022,15:00,St Mirren,Kilmarnock,0,0,D,0,0,D,C Graham,14,14,3,4,20,12,6,8,3,2,0,30.12
SC0,11/10/2022,19:45,Dundee United,Hibernian,1,0,H,1,0,H,E Anderson,9,18,1,7,11,13,5,10,5,2,0,30.12
SC0,09/10/2022,15:00,Kilmarnock,Hearts,2,2,D,0,0,D,M MacDermid,14,11,6,5,21,13,6,3,2,1,0,30.12
SC0,08/10/2022,12:30,St Johnstone,Celtic,1,2,A,0,1,A,E Anderson,8,11,3,4,14,10,2,8,3,3,0,30.12
SC0,08/10/2022,15:00,Hibernian,Motherwell,1,0,H,0,0,D,G Irvine,14,9,5,1,16,10,3,7,2,4,0,31.12
SC0,08/10/2022,15:00,Livingston,Ross County,0,1,A,0,0,D,G Grainger,22,5,3,1,10,18,9,2,0,3,0,30.12
SC0,08/10/2022,15:00,Rangers,St Mirren,4,0,H,2,0,H,N Walsh,19,9,8,3,10,10,8,5,0,2,0,30.12
SC0,08/10/2022,18:00,Dundee United,Aberdeen,4,0,H,2,0,H,W Collum,14,14,8,1,9,13,5,1,2,1,0,30.12
SC0,05/10/2022,19:45,Kilmarnock,St Johnstone,2,1,H,1,0,H,A Muir,11,15,2,5,16,16,5,5,0,3,0,30.12
SC0,04/10/2022,19:45,Ross County,Motherwell,0,5,A,0,1,A,C Graham,9,11,1,6,16,13,4,3,3,2,0,30.12
SC0,01/10/2022,12:30,Hearts,Rangers,0,4,A,0,2,A,S McLean,7,20,1,7,11,12,5,7,1,2,1,30.12
SC0,01/10/2022,15:00,Aberdeen,Kilmarnock,4,1,H,3,1,H,K Clancy,16,7,8,3,12,11,5,5,1,2,0,30.12
SC0,01/10/2022,15:00,Celtic,Motherwell,2,1,H,1,1,D,J Beaton,17,7,6,2,10,9,7,4,1,4,1,30.12
SC0,01/10/2022,15:00,Dundee United,St Johnstone,1,2,A,0,2,A,D Munro,19,12,6,3,11,11,9,0,5,3,0,30.12
SC0,01/10/2022,15:00,Ross County,Hibernian,0,2,A,0,0,D,A Muir,9,24,2,9,13,14,6,11,1,0,0,30.12
SC0,01/10/2022,15:00,St Mirren,Livingston,2,1,H,0,0,D,C Napier,8,10,3,3,16,11,6,7,3,1,1,30.12
SC0,18/09/2022,12:00,St Mirren,Celtic,2,0,H,1,0,H,D Robertson,4,18,2,4,15,11,6,7,3,2,0,30.12
SC0,18/09/2022,15:00,Motherwell,Hearts,0,3,A,0,1,A,N Walsh,25,10,5,6,12,13,6,2,3,2,0,30.12
SC0,17/09/2022,15:00,Hibernian,Aberdeen,3,1,H,1,1,D,D Dickinson,25,5,8,1,19,14,10,2,2,4,0,31.12
SC0,17/09/2022,15:00,Livingston,Kilmarnock,1,0,H,1,0,H,G Irvine,9,3,1,1,14,12,5,4,1,2,0,30.12
